PercentStance,InterpV_N,InterpML_N,InterpAP_N,GRF_Vert_Sq,NetGRF_N,MLAngle_deg,MLAngle_Convert_deg,APAngle_deg,APAngle_Convert_deg,InterpV_BW,InterpML_BW,InterpAP_BW,NetGRF_BW,filename
30,0.028644117,-0.014552998,0.035064204,0.000820485,0.047558107,116.9334103,-26.93341029,39.24555117,50.75444883,0.13918424,-0.070714276,0.17038,0.231088957,pw02f24
25,0.025279356,-0.019279923,0.039860988,0.000639046,0.050986857,127.3318454,-37.33184536,32.38237618,57.61762382,0.092125934,-0.070262109,0.14526599,0.185812162,pw02f25
100,-0.057627022,0.01917528,0.016957115,0.003320874,0.063056393,71.59523698,18.40476302,73.60314747,16.39685253,-0.210011013,0.069880756,0.061797067,0.229797352,pw03f08
99,-0.042557126,0.009813856,0.013601265,0.001811109,0.045742925,77.01435543,12.98564457,72.27611066,17.72388934,-0.155091567,0.035764783,0.049567293,0.166701621,pw03f10
100,-0.056424294,0.010495775,0.018883483,0.003183701,0.060418939,79.46255123,10.53744877,71.49618417,18.50381583,-0.191919368,0.035699916,0.064229535,0.205506596,pw03f11
84,-0.025406548,0.010057073,0.039357523,0.000645493,0.047912963,68.40407712,21.59592288,32.84354462,57.15645538,-0.086416831,0.034207731,0.133869127,0.162969263,pw03f17
28,0.019826554,0.023939578,0.045197582,0.000393092,0.054854508,39.63126491,50.36873509,23.68533385,66.31466615,0.077812222,0.093954386,0.177384545,0.215284568,pw03f18
30,0.047564044,-0.02215748,0.003680742,0.002262338,0.052600761,114.9782302,-24.97823021,85.57498711,4.425012887,0.186672073,-0.086960283,0.014445612,0.206439408,pw03f20
100,-0.048188303,0.023332572,0.02833607,0.002322113,0.060576021,64.16393103,25.83606897,59.54328103,30.45671897,-0.182117547,0.088180544,0.107090211,0.228934319,pw03f23
34,0.049378013,-0.016384285,0.045445515,0.002438188,0.069079142,108.3565339,-18.35653395,47.37479554,42.62520446,0.193791261,-0.06430253,0.178357596,0.271111232,pw03f26
68,0.037435628,-0.007720512,0.026790757,0.001401426,0.046677374,101.6529804,-11.65298043,54.41064644,35.58935356,0.173634638,-0.035809427,0.124261397,0.216499879,pw05f01
54,0.067231476,-0.025616408,0.016970794,0.004520071,0.073920765,110.8577456,-20.85774562,75.83315119,14.16684881,0.311834302,-0.11881451,0.078714258,0.342860692,pw05f02
40,0.037520851,-0.001520237,0.03804045,0.001407814,0.053452794,92.32019171,-2.320191712,44.60601055,45.39398945,0.174029922,-0.007051194,0.176439935,0.247925763,pw05f04
30,0.040473582,0.005871675,0.043137814,0.001638111,0.0594429,81.74544535,8.254554652,43.17491846,46.82508154,0.187725333,0.027234115,0.200082625,0.275709185,pw05f09
25,0.076058727,-0.031202498,0.011075524,0.00578493,0.082952957,112.3055071,-22.30550708,81.71493335,8.285066645,0.337438895,-0.138431667,0.049137194,0.36802554,pw05f10
35,0.065671244,-0.019904714,0.017511779,0.004312712,0.070820705,106.8618641,-16.86186408,75.06903278,14.93096722,0.291354231,-0.088308401,0.077692011,0.314200111,pw05f12
29,0.051259761,0.000824641,0.037440414,0.002627563,0.0634825,89.07833379,0.921666211,53.85539995,36.14460005,0.227416863,0.003658568,0.166106541,0.281643743,pw05f13
78,-0.006023289,0.015125203,0.051993453,3.63E-05,0.054482758,21.71386445,68.28613555,6.60809215,83.39190785,-0.026722668,0.06710383,0.23067193,0.241715875,pw05f15
100,-0.042341618,0.002302618,-0.003371701,0.001792813,0.042538019,86.88721238,3.112787618,94.55290754,-4.552907536,-0.196389695,0.010680046,-0.015638689,0.197300644,pw05f18
29,0.048135015,0.001105468,0.031597029,0.00231698,0.057589704,88.68437697,1.315623031,56.71810305,33.28189695,0.223260739,0.005127404,0.146553937,0.267113655,pw05f19
16,0.064797193,-0.018903855,0.045857474,0.004198676,0.081602327,106.2640137,-16.26401365,54.71266237,35.28733763,0.300543565,-0.08768022,0.212697003,0.378489459,pw05f20
6,0.01040074,-0.009772225,0.073050044,0.000108175,0.074431046,133.2154513,-43.21545126,8.103212977,81.89678702,0.04824091,-0.045325718,0.338822095,0.345227488,pw06f01
11,0.034406077,-0.026634173,0.04529424,0.001183778,0.06280705,127.7439,-37.74390003,37.22076296,52.77923704,0.159582919,-0.123535124,0.210084603,0.291312848,pw06f03
23,0.048620417,-0.018894458,0.027802164,0.002363945,0.05910927,111.2367035,-21.23670348,60.23818143,29.76181857,0.23625081,-0.091809804,0.135093121,0.287217055,pw06f04
21,0.052848577,-0.01910163,0.003355461,0.002792972,0.056294791,109.8719209,-19.87192092,86.36705387,3.632946132,0.256795808,-0.09281647,0.016304475,0.273541259,pw06f05
20,0.033673887,-0.023083101,0.029997833,0.001133931,0.050661921,124.4302336,-34.4302336,48.30427412,41.69572588,0.16362433,-0.112162783,0.145762067,0.246170655,pw06f08
22,0.068748061,-0.031529258,0.032297326,0.004726296,0.082240545,114.6371522,-24.63715224,64.83621214,25.16378786,0.334052774,-0.153203392,0.156935501,0.399613922,pw06f09
19,0.041663184,-0.021177048,0.014669731,0.001735821,0.048984583,116.9438502,-26.9438502,70.60268213,19.39731787,0.202445017,-0.10290111,0.071281492,0.238020324,pw06f13
