PercentStance,APAngle.Convert,MLAngle.Convert,InterpV.BW,InterpML.BW,InterpAP.BW,NetGRF.BW,Group,Species,Ind,Appendage,Trial,InterpV.N,InterpML.N,InterpAP.N,SquaredV.N,SquaredML.N,SquaredAP.N,NetGRF.N,APAngle,MLAngle
40,7.730588865,-25.35395104,0.345633415,-0.163778522,0.046919383,0.385340486,pb_Pec,pb,pb05,Pec,pb05f11,0.071131357,-0.03370562,0.009656009,0.00505967,0.001136069,9.32E-05,0.079303072,82.26941114,115.353951
46,5.590417675,-29.30502468,0.319544905,-0.179357088,0.031277697,0.367771948,pb_Pec,pb,pb05,Pec,pb05f12,0.065762342,-0.036911689,0.00643695,0.004324686,0.001362473,4.14E-05,0.075687467,84.40958232,119.3050247
34,11.55554769,-21.47741409,0.49189338,-0.193537999,0.100573563,0.538080938,pb_Pec,pb,pb05,Pec,pb05f13,0.101231658,-0.03983012,0.020698039,0.010247848,0.001586438,0.000428409,0.110737057,78.44445231,111.4774141
62,4.349400108,-17.66432348,0.406655741,-0.129501454,0.03092922,0.427897342,pb_Pec,pb,pb05,Pec,pb05f16,0.083689752,-0.026651399,0.006365234,0.007003975,0.000710297,4.05E-05,0.088061273,85.65059989,107.6643235
23,6.817823608,-4.205990758,0.505765502,-0.037194264,0.060468462,0.510723596,at_Pel,at,at01,Pel,at01f37,0.302346617,-0.022234731,0.036148046,0.091413477,0.000494383,0.001306681,0.305310566,83.18217639,94.20599076
19,24.99839056,-17.97482687,0.306258858,-0.099360795,0.142800378,0.352220107,at_Pel,at,at01,Pel,at01f44,0.189084219,-0.061345355,0.088164953,0.035752842,0.003763253,0.007773059,0.217460694,65.00160944,107.9748269
27,8.450278214,-1.090004409,0.523944655,-0.009968813,0.077839274,0.52978895,at_Pel,at,at01,Pel,at01f51,0.313214115,-0.005959356,0.046532318,0.098103082,3.55E-05,0.002165257,0.316707834,81.54972179,91.09000441
26,8.464821418,-3.626625235,0.521288489,-0.0330399,0.077579906,0.528064357,at_Pel,at,at01,Pel,at01f52,0.311626258,-0.019751252,0.046377268,0.097110925,0.000390112,0.002150851,0.315676873,81.53517858,93.62662524
33,3.848133144,-2.250823545,0.583709003,-0.022942392,0.039262463,0.585477664,at_Pel,at,at01,Pel,at01f53,0.348941242,-0.013714962,0.023471101,0.12175999,0.0001881,0.000550893,0.349998547,86.15186686,92.25082355
34,3.336896693,-5.99066895,0.527480142,-0.055353545,0.030755136,0.531267535,at_Pel,at,at01,Pel,at01f56,0.315327629,-0.033090349,0.018385421,0.099431513,0.001094971,0.000338024,0.317591732,86.66310331,95.99066895
